tower_id,location_id,tower_type,latitude,longitude,installed_date,status,capacity_mbps
438,14,4G/5G,23.780099,73.395637,2019-05-24,Active,100
439,16,5G,18.033025,74.339472,2022-02-26,Inactive,100
440,34,4G,33.658946,86.810639,2016-06-24,Under Maintenance,2000
441,27,5G,22.205262,73.109866,2020-04-13,Active,100
442,38,4G,8.358629,73.883373,2015-09-05,Under Maintenance,2000
443,19,4G/5G,26.528356,83.80798,2019-10-01,Under Maintenance,100
444,41,4G/5G,21.979039,72.748248,2015-12-09,Active,100
445,33,4G,33.332148,72.796788,2018-08-31,Under Maintenance,2000
446,41,4G/5G,25.707448,71.190072,2022-11-01,Under Maintenance,250
447,4,4G,10.241533,77.820705,2020-02-01,Inactive,2000
448,4,5G,25.318069,81.844942,2016-12-20,Active,100
449,9,4G/5G,8.295116,78.935433,2018-11-21,Inactive,2000
450,17,4G,17.668605,83.495975,2024-10-17,Active,100
451,2,5G,28.984804,74.895651,2015-09-19,Active,2000
452,41,4G,20.899837,79.194074,2015-08-16,Under Maintenance,2000
453,11,5G,12.09006,83.919921,2021-06-08,Active,250
454,33,4G,9.144986,85.532713,2017-09-28,Active,1000
455,24,5G,31.92589,73.221297,2024-08-13,Active,2000
456,42,5G,13.837398,74.468737,2023-01-29,Active,500
457,5,4G/5G,17.693012,79.036737,2015-08-04,Active,250
458,34,4G,32.806065,71.240676,2020-03-20,Active,500
459,21,4G,22.380376,70.143445,2017-04-01,Active,2000
460,20,4G/5G,24.190656,78.35068,2021-08-20,Under Maintenance,250
461,35,4G,11.914726,86.783156,2015-04-08,Active,2000
462,23,4G/5G,29.828924,85.789575,2018-10-04,Active,1000
463,20,4G,13.335054,87.696083,2019-09-16,Under Maintenance,100
464,10,4G/5G,15.275457,70.790205,2017-08-06,Inactive,1000
465,24,5G,33.338425,71.528244,2016-01-27,Inactive,250
466,41,5G,9.945593,80.220773,2019-11-17,Active,250
467,19,5G,30.123756,86.668755,2019-05-29,Active,500
468,29,5G,14.073892,86.983984,2016-07-11,Inactive,100
469,10,4G,12.273749,78.388992,2019-07-24,Active,2000
470,23,4G,19.749844,78.340239,2024-07-23,Active,100
471,11,4G/5G,15.90959,82.684686,2021-10-07,Active,250
472,21,4G,10.371535,74.467938,2018-12-28,Under Maintenance,2000
473,4,4G/5G,15.769858,84.761613,2016-12-13,Active,1000
474,29,4G/5G,27.45004,74.497347,2020-03-07,Active,250
475,8,4G,9.603399,84.05728,2017-06-29,Active,250
476,26,5G,25.843417,86.876348,2015-12-11,Inactive,2000
477,17,4G,8.566805,71.160497,2022-03-30,Under Maintenance,250
478,6,5G,11.185719,86.961052,2015-07-27,Active,2000
479,28,4G/5G,18.269966,70.530681,2022-08-30,Under Maintenance,250
480,23,4G,31.61591,74.949672,2020-01-01,Active,100
481,40,4G/5G,24.041406,81.651011,2020-08-05,Under Maintenance,2000
482,31,4G,10.28076,76.894275,2019-09-14,Active,2000
483,16,4G/5G,33.846269,79.78582,2015-03-21,Under Maintenance,500
484,31,4G/5G,28.317313,76.192614,2021-05-05,Inactive,500
485,25,5G,12.675213,75.739796,2017-06-16,Active,500
486,4,5G,21.76524,83.803159,2017-08-11,Active,100
487,16,4G/5G,14.269973,79.606412,2023-11-15,Active,250
488,37,5G,17.22492,85.106001,2024-06-24,Active,250
489,16,4G/5G,16.268114,83.285892,2019-01-09,Inactive,100
490,23,4G/5G,22.653769,80.13596,2017-02-10,Under Maintenance,2000
491,20,4G,20.751347,71.624633,2017-08-10,Inactive,250
492,2,4G/5G,20.427714,75.971212,2021-11-20,Active,250
493,22,4G/5G,12.613957,84.44364,2024-09-26,Active,100
494,2,4G,23.251839,86.510035,2023-09-07,Active,2000
495,24,4G,17.71336,86.954618,2019-06-09,Inactive,100
496,22,5G,16.387683,87.565492,2023-03-19,Under Maintenance,1000
497,42,5G,12.529269,87.437372,2022-10-11,Inactive,500
498,15,4G/5G,23.312704,73.156329,2018-06-10,Active,250
499,12,4G/5G,8.046746,82.636152,2021-06-04,Under Maintenance,2000
500,3,4G,23.662105,86.578688,2021-11-09,Active,2000
